Year,Season,Date,Time,At,Opponent,Location,Score
1984,1984 Football,10/20/1984,TBA,Home,Northwestern,"Minneapolis, Minn.",L 28-31
1984,1984 Football,10/27/1984,TBA,Home,Michigan State,"Minneapolis, Minn.",L 13-20
1984,1984 Football,11/17/1984,TBA,Home,Iowa,"Minneapolis, Minn.",W 23-17
1985,1985 Football,09/14/1985,TBA,Home,Wichita State,"Minneapolis, Minn.",W 28-14
1985,1985 Football,09/21/1985,TBA,Home,Montana,"Minneapolis, Minn.",W 62-17
1985,1985 Football,09/28/1985,TBA,Home,Oklahoma,"Minneapolis, Minn.",L 7-13
1985,1985 Football,10/05/1985,TBA,Home,Purdue,"Minneapolis, Minn.",W 45-15
1985,1985 Football,10/26/1985,TBA,Home,Ohio State,"Minneapolis, Minn.",L 19-23
1985,1985 Football,11/09/1985,TBA,Home,Wisconsin,"Minneapolis, Minn.",W 27-18
1985,1985 Football,11/16/1985,TBA,Home,Michigan,"Minneapolis, Minn.",L 7-48
1986,1986 Football,09/13/1986,TBA,Home,Bowling Green,"Minneapolis, Minn.",W 31-7
1986,1986 Football,09/27/1986,TBA,Home,Pacific,"Minneapolis, Minn.",L 20-24
1986,1986 Football,10/11/1986,TBA,Home,Northwestern,"Minneapolis, Minn.",W 44-23
1986,1986 Football,10/18/1986,TBA,Home,Indiana,"Minneapolis, Minn.",W 19-17
1986,1986 Football,11/01/1986,TBA,Home,Michigan State,"Minneapolis, Minn.",L 23-52
1986,1986 Football,11/22/1986,TBA,Home,Iowa,"Minneapolis, Minn.",L 27-30
1987,1987 Football,09/12/1987,TBA,Home,Northern Iowa,"Minneapolis, Minn.",W 24-7
1987,1987 Football,09/19/1987,TBA,Home,California,"Minneapolis, Minn.",W 32-23
1987,1987 Football,09/26/1987,TBA,Home,Central Michigan,"Minneapolis, Minn.",W 30-10
1987,1987 Football,10/03/1987,TBA,Home,Purdue,"Minneapolis, Minn.",W 21-19
1987,1987 Football,10/16/1987,TBA,Home,Indiana,"Minneapolis, Minn.",L 17-18
1987,1987 Football,11/07/1987,TBA,Home,Michigan,"Minneapolis, Minn.",L 20-30
1987,1987 Football,11/14/1987,TBA,Home,Wisconsin,"Minneapolis, Minn.",W 22-19
1988,1988 Football,09/10/1988,TBA,Home,Washington State,"Minneapolis, Minn.",L 9-41
1988,1988 Football,09/17/1988,TBA,Home,Miami (Ohio),"Minneapolis, Minn.",W 35-3
1988,1988 Football,09/24/1988,TBA,Home,Northern Illinois,"Minneapolis, Minn.",W 31-20
1988,1988 Football,10/08/1988,TBA,Home,Northwestern,"Minneapolis, Minn.",T 28-28
1988,1988 Football,10/22/1988,TBA,Home,Ohio State,"Minneapolis, Minn.",L 6-13
1988,1988 Football,10/29/1988,TBA,Home,Illinois,"Minneapolis, Minn.",T 27-27
1988,1988 Football,11/19/1988,TBA,Home,Iowa,"Minneapolis, Minn.",L 22-31
1989,1989 Football,09/23/1989,TBA,Home,Nebraska,"Minneapolis, Minn.",L 0-48
1989,1989 Football,09/30/1989,TBA,Home,Indiana State,"Minneapolis, Minn.",W 34-14
1989,1989 Football,10/07/1989,TBA,Home,Purdue,"Minneapolis, Minn.",W 35-15
1989,1989 Football,10/28/1989,TBA,Home,Ohio State,"Minneapolis, Minn.",L 37-41
1989,1989 Football,11/04/1989,TBA,Home,Wisconsin,"Minneapolis, Minn.",W 24-22
1989,1989 Football,11/18/1989,TBA,Home,Michigan,"Minneapolis, Minn.",L 15-49
1990,1990 Football,09/08/1990,TBA,Home,Utah,"Minneapolis, Minn.",L 29-35
1990,1990 Football,09/15/1990,TBA,Home,Iowa State,"Minneapolis, Minn.",W 20-16
1990,1990 Football,10/13/1990,TBA,Home,Northwestern,"Minneapolis, Minn.",W 35-25
1990,1990 Football,10/20/1990,TBA,Home,Indiana,"Minneapolis, Minn.",W 12-0
1990,1990 Football,11/10/1990,TBA,Home,Michigan State,"Minneapolis, Minn.",L 16-28
1990,1990 Football,11/24/1990,TBA,Home,Iowa,"Minneapolis, Minn.",W 31-24
1991,1991 Football,09/14/1991,TBA,Home,San Jose State,"Minneapolis, Minn.",W 26-20
1991,1991 Football,09/28/1991,TBA,Home,Pittsburgh,"St. Paul, Minn.",L 13-14
1991,1991 Football,10/12/1991,TBA,Home,Purdue,"Minneapolis, Minn.",W 6-3
1991,1991 Football,10/25/1991,TBA,Home,Michigan,"Minneapolis, Minn.",L 6-52
1991,1991 Football,11/09/1991,TBA,Home,Ohio State,"Minneapolis, Minn.",L 6-35
1991,1991 Football,11/16/1991,TBA,Home,Wisconsin,"Minneapolis, Minn.",L 16-19
1992,1992 Football,09/12/1992,TBA,Home,San Jose State,"Minneapolis, Minn.",L 30-39
1992,1992 Football,09/19/1992,TBA,Home,Colorado,"Minneapolis, Minn.",L 20-21
1992,1992 Football,10/03/1992,TBA,Home,Illinois,"Minneapolis, Minn.",W 18-17
1992,1992 Football,10/17/1992,TBA,Home,Michigan State,"Minneapolis, Minn.",L 15-20
1992,1992 Football,10/31/1992,TBA,Home,Indiana,"Saint Paul, Minn.",L 17-24
1992,1992 Football,11/21/1992,TBA,Home,Iowa,"Minneapolis, Minn.",W 28-13
1993,1993 Football,09/11/1993,TBD,Home,Indiana State,Metrodome,W 27-10
1993,1993 Football,09/18/1993,TBD,Home,Kansas State,Metrodome,L 25-30
1993,1993 Football,10/02/1993,TBD,Home,Indiana,Metrodome,L 19-23
1993,1993 Football,10/09/1993,TBD,Home,Purdue,Metrodome,W 59-56
1993,1993 Football,10/23/1993,TBD,Home,Wisconsin,Metrodome,W 28-21
1993,1993 Football,11/13/1993,TBD,Home,Michigan,Metrodome,L 7-58
1994,1994 Football,09/03/1994,TBD,Home,Penn State,"St. Paul, Minn.",L 3-56
1994,1994 Football,09/10/1994,TBD,Home,Pacific,"Minneapolis, Minn.",W 33-7
1994,1994 Football,09/17/1994,TBD,Home,San Diego State,"Minneapolis, Minn.",W 40-17
1994,1994 Football,10/15/1994,TBD,Home,Northwestern,"Minneapolis, Minn.",L 31-37
1994,1994 Football,11/05/1994,TBD,Home,Illinois,"Minneapolis, Minn.",L 17-21
1995,1995 Football,09/16/1995,TBD,Home,Ball State,"Minneapolis, Minn.",W 31-7
1995,1995 Football,09/30/1995,TBD,Home,Arkansas State,"Minneapolis, Minn.",W 55-7
1995,1995 Football,10/07/1995,TBD,Home,Purdue,"Minneapolis, Minn.",W 39-38
1995,1995 Football,10/14/1995,TBD,Home,Northwestern,"Minneapolis, Minn.",L 17-27
1995,1995 Football,11/04/1995,TBD,Home,Ohio State,"Minneapolis, Minn.",L 21-49
1995,1995 Football,11/11/1995,TBD,Home,Wisconsin,"Minneapolis, Minn.",L 27-34
1996,1996 Football,09/14/1996,TBD,Home,Ball State,"Minneapolis, Minn.",W 26-23
1996,1996 Football,09/21/1996,TBD,Home,Syracuse,"Minneapolis, Minn.",W 35-33
1996,1996 Football,10/05/1996,TBD,Home,Purdue,"West Lafayette, Ind.",L 27-30
1996,1996 Football,10/19/1996,TBD,Home,Michigan State,"Minneapolis, Minn.",L 9-27
1996,1996 Football,10/26/1996,TBD,Home,Michigan,"Minneapolis, Minn.",L 10-44
1996,1996 Football,11/16/1996,TBD,Home,Illinois,"Minneapolis, Minn.",W 23-21
1997,1997 Football,09/13/1997,TBD,Home,Iowa State,"Minneapolis, Minn.",W 53-29
1997,1997 Football,09/27/1997,TBD,Home,Houston,"Minneapolis, Minn.",L 43-45
1997,1997 Football,10/11/1997,TBD,Home,Purdue,"Minneapolis, Minn.",L 43-59
1997,1997 Football,10/25/1997,TBD,Home,Wisconsin,"Minneapolis, Minn.",L 21-22
1997,1997 Football,11/08/1997,TBD,Home,Ohio State,"Minneapolis, Minn.",L 3-31
1997,1997 Football,11/15/1997,TBD,Home,Indiana,"Minneapolis, Minn.",W 24-12
1998,1998 Football,09/05/1998,TBD,Home,Arkansas State,"Minneapolis, Minn.",W 17-14
1998,1998 Football,09/19/1998,TBD,Home,Memphis,"Minneapolis, Minn.",W 41-14
1998,1998 Football,10/10/1998,TBD,Home,Penn State,"Minneapolis, Minn.",L 17-27
1998,1998 Football,10/24/1998,TBD,Home,Michigan State,"Minneapolis, Minn.",W 19-18
1998,1998 Football,10/31/1998,TBD,Home,Michigan,"Minneapolis, Minn.",L 10-15
1998,1998 Football,11/21/1998,TBD,Home,Iowa,"Minneapolis, Minn.",W 49-7
1999,1999 Football,09/04/1999,12:00 PM,Home,Ohio,"Minneapolis, Minn.",W 33-7
1999,1999 Football,09/11/1999,7:00 PM,Home,Louisiana-Monroe,"Minneapolis, Minn.",W 35-0
1999,1999 Football,09/18/1999,1:30 PM,Home,Illinois State,"Minneapolis, Minn.",W 55-7
1999,1999 Football,10/09/1999,2:30 PM,Home,Wisconsin,"Minneapolis, Minn.",L 17-20
1999,1999 Football,10/16/1999,11:10 AM,Home,Illinois,"Champaign, Ill.",W 37-7
1999,1999 Football,10/23/1999,11:00 AM,Home,Ohio State,"Minneapolis, Minn.",L 17-20
1999,1999 Football,10/30/1999,11:10 AM,Home,Purdue,"Minneapolis, Minn.",L 28-33
1999,1999 Football,11/13/1999,11:10 AM,Home,Indiana,"Minneapolis, Minn.",W 44-20
1999,1999 Football,12/31/1999,1:15 PM,Home,Oregon,"Minneapolis, Minn.",L 20-24
2000,2000 Football,09/02/2000,11:10 AM,Home,Louisiana-Monroe,"Minneapolis, Minn.",W 47-10
2000,2000 Football,09/09/2000,12:00 PM,Home,Ohio,"Minneapolis, Minn.",L 17-23
2000,2000 Football,09/30/2000,11:10 AM,Home,Illinois,"Minneapolis, Minn.",W 44-10
2000,2000 Football,10/07/2000,11:10 AM,Home,Penn State,"Minneapolis, Minn.",W 25-16
2000,2000 Football,10/28/2000,11:00 AM,Home,Northwestern,"Minneapolis, Minn.",L 35-41
2000,2000 Football,11/18/2000,11:05 AM,Home,Iowa,"Minneapolis, Minn.",W 27-24
2001,2001 Football,09/08/2001,2:30 PM,Home,Louisiana-Lafayette,"Minneapolis, Minn.",W 44-14
2001,2001 Football,09/29/2001,11:10 AM,Home,Purdue,"Minneapolis, Minn.",L 28-35
2001,2001 Football,10/20/2001,10:10 AM,Home,Michigan State,"Minneapolis, Min.",W 28-19
2001,2001 Football,10/27/2001,TBD,Home,Murray State,"Minneapolis, Minn.",W 66-10
2001,2001 Football,11/03/2001,6:45 PM,Home,Ohio State,"Minneapolis, Minn.",L 28-31
2001,2001 Football,11/24/2001,2:30 PM,Home,Wisconsin,"Minneapolis, Minn.",W 42-31
2002,2002 Football,08/31/2002,7:00 PM,Home,Southwest Texas State,"Minneapolis, Minn.",W 42-0
2002,2002 Football,09/14/2002,1:30 PM,Home,Toledo,"Minneapolis, Minn.",W 31-21
2002,2002 Football,09/21/2002,2:30 PM,Home,Buffalo,"Minneapolis, Minn.",W 41-17
2002,2002 Football,10/03/2002,7:00 PM,Home,Illinois,"Minneapolis, Minn.",W 31-10
2002,2002 Football,10/10/2002,7:00 PM,Home,Northwestern,"Minneapolis, Minn.",W 45-42
2002,2002 Football,11/09/2002,7:45 PM,Home,Michigan,"Minneapolis, Minn.",L 24-41
2002,2002 Football,11/16/2002,11:00 AM,Home,Iowa,"Minneapolis, Minn.",L 21-45
2003,2003 Football,08/30/2003,6:00 PM,Home,Tulsa,"Minneapolis, Minn.",W 49-10
2003,2003 Football,09/06/2003,8:00 PM,Home,Troy St,"Minneapolis, Minn.",W 48-7
2003,2003 Football,09/20/2003,8:00 PM,Home,Louisiana-Lafayette,"Minneapolis, Minn.",W 48-14
2003,2003 Football,10/10/2003,8:00 PM,Home,Michigan,"Minneapolis, Minn.",L 35-38
2003,2003 Football,10/18/2003,TBD,Home,Michigan St,"Minneapolis, Minn.",L 38-44
2003,2003 Football,11/01/2003,2:00 PM,Home,Indiana,"Minneapolis, Minn.",W 55-7
2003,2003 Football,11/08/2003,12:00 PM,Home,Wisconsin,"Minneapolis, Minn.",W 37-34
2004,2004 Football,09/04/2004,8:07 PM,Home,Toledo,"Minneapolis, Minn.",W 63-21
2004,2004 Football,09/11/2004,2:00 PM,Home,Illinois St,"Minneapolis, Minn.",W 37-21
2004,2004 Football,09/25/2004,8:07 PM,Home,Northwestern,"Minneapolis, Minn.",W 43-17
2004,2004 Football,10/02/2004,7:00 PM,Home,Penn State,"Minneapolis, Minn.",W 16-7
2004,2004 Football,10/23/2004,1:00 PM,Home,Illinois,"Minneapolis, Minn.",W 45-0
2004,2004 Football,11/13/2004,11:00 AM,Home,Iowa,"Minneapolis, Minn.",L 27-29
2005,2005 Football,09/10/2005,1:00 PM,Home,Colorado State,"Minneapolis, Minn.",W 56-24
2005,2005 Football,09/17/2005,7:30 PM,Home,Florida Atlantic,"Minneapolis, Minn.",W 47-6
2005,2005 Football,09/24/2005,10:00 AM,Home,Purdue,"Minneapolis, Minn.",W 42-35
2005,2005 Football,10/15/2005,11:00 AM,Home,Wisconsin,"Minneapolis, Minn.",L 34-38
2005,2005 Football,10/29/2005,11:00 AM,Home,Ohio State,"Minneapolis, Minn.",L 31-45
2005,2005 Football,11/12/2005,11:10 AM,Home,Michigan State,"Minneapolis, Minn.",W 41-18
2006,2006 Football,08/31/2006,5:30 PM,Home,Kent State,"Kent, Ohio",W 44-0
2006,2006 Football,09/16/2006,1:00 PM,Home,Temple,"Minneapolis, Minn.",W 62-0
2006,2006 Football,09/30/2006,7:00 PM,Home,Michigan,"Minneapolis, Minn.",L 14-28
2006,2006 Football,10/07/2006,11:00 AM,Home,Penn State,"Minneapolis, Minn.",L 27-28
2006,2006 Football,10/21/2006,2:30 PM,Home,North Dakota State,TBD,W 10-9
2006,2006 Football,11/04/2006,11:00 AM,Home,Indiana,"Minneapolis, Minn.",W 63-26
2006,2006 Football,11/18/2006,11:00 AM,Home,Iowa,"Minneapolis, Minn.",W 34-24
2007,2007 Football,09/01/2007,6:30 PM,Home,Bowling Green,"Minneapolis, Minn.",L 31-32
2007,2007 Football,09/08/2007,11:00 AM,Home,Miami (Oh),"Minneapolis, Minn.",W 41-35
2007,2007 Football,09/22/2007,8:00 PM,Home,Purdue,"Minneapolis, Minn.",L 31-45
2007,2007 Football,09/29/2007,7:00 PM,Home,Ohio State,"Minneapolis, Minn.",L 7-30
2007,2007 Football,10/20/2007,11:07 AM,Home,North Dakota State,"Minneapolis, Minn.",L 21-27
2007,2007 Football,11/03/2007,7:00 PM,Home,Illinois,"Minneapolis, Minn.",L 17-44
2007,2007 Football,11/17/2007,2:30 PM,Home,Wisconsin,"Minneapolis, Minn.",L 34-41
2009,2009 Football,09/12/2009,6:00 PM,Home,Air Force,"Minneapolis, Minn.",W 20-13
2009,2009 Football,09/19/2009,11:00 AM,Home,California,"Minneapolis, Minn.",L 21-35
2009,2009 Football,10/03/2009,11:00 AM,Home,Wisconsin,"Minneapolis, Minn.",L 28-31
2009,2009 Football,10/10/2009,11:00 AM,Home,Purdue,"Minneapolis, Minn.",W 35-20
2009,2009 Football,10/31/2009,7:00 PM,Home,Michigan State,"Minneapolis, Minn.",W 42-34
2009,2009 Football,11/07/2009,11:00 AM,Home,Illinois,"Minneapolis, Minn.",L 32-35
2009,2009 Football,11/14/2009,11:00 AM,Home,South Dakota St.,"Minneapolis, Minn.",W 16-13
2010,2010 Football,09/11/2010,TBD,Home,South Dakota,TCF Bank Stadium,L 38-41
2010,2010 Football,09/18/2010,TBD,Home,USC,TCF Bank Stadium,L 21-32
2010,2010 Football,09/25/2010,TBD,Home,Northern Illinois,TCF Bank Stadium,L 23-34
2010,2010 Football,10/02/2010,TBD,Home,Northwestern,TCF Bank Stadium,L 28-29
2010,2010 Football,10/23/2010,TBD,Home,Penn State,TCF Bank Stadium,L 21-33
2010,2010 Football,10/30/2010,TBD,Home,Ohio State,TCF Bank Stadium,L 10-52
2010,2010 Football,11/27/2010,TBD,Home,Iowa,TCF Bank Stadium,W 27-24
2011,2011 Football,09/03/2011,2:30 PM,Home,USC,"Los Angeles, Calif.",L 17-19
2011,2011 Football,09/10/2011,2:30 PM,Home,New Mexico State,TCF Bank Stadium,L 21-28
2011,2011 Football,09/17/2011,2:30 PM,Home,Miami (Oh),TCF Bank Stadium,W 29-23
2011,2011 Football,09/24/2011,6:00 PM,Home,North Dakota State,TCF Bank Stadium,L 24-37
2011,2011 Football,10/22/2011,2:30 PM,Home,Nebraska,TCF Bank Stadium,L 14-41
2011,2011 Football,10/29/2011,2:30 PM,Home,Iowa,TCF Bank Stadium,W 22-21
2011,2011 Football,11/12/2011,2:30 PM,Home,Wisconsin,TCF Bank Stadium,L 13-42
2011,2011 Football,11/26/2011,2:30 PM,Home,Illinois,TCF Bank Stadium,W 27-7
2012,2012 Football,09/08/2012,11:00 AM,Home,New Hampshire,TCF Bank Stadium,W 44-7
2012,2012 Football,09/15/2012,11:00 AM,Home,Western Michigan,TCF Bank Stadium,W 28-23
2012,2012 Football,09/22/2012,7:00 PM,Home,Syracuse,TCF Bank Stadium,W 17-10
2012,2012 Football,10/13/2012,11:00 AM,Home,Northwestern,TCF Bank Stadium,L 13-21
2012,2012 Football,10/27/2012,2:30 PM,Home,Purdue,TCF Bank Stadium,W 44-28
2012,2012 Football,11/03/2012,11:00 AM,Home,Michigan,TCF Bank Stadium,L 13-35
2012,2012 Football,11/24/2012,2:30 PM,Home,Michigan State,TCF Bank Stadium,L 10-26
2013,2013 Football,08/29/2013,6:00 PM,Home,UNLV,TCF Bank Stadium,W 51-23
2013,2013 Football,09/14/2013,11:00 AM,Home,Western Illinois,TCF Bank Stadium,W 29-12
2013,2013 Football,09/21/2013,11:00 AM,Home,San Jose State,TCF Bank Stadium,W 43-24
2013,2013 Football,09/28/2013,2:30 PM,Home,Iowa (Homecoming),TCF Bank Stadium,L 7-23
2013,2013 Football,10/26/2013,11:00 AM,Home,Nebraska,TCF Bank Stadium,W 34-23
2013,2013 Football,11/09/2013,11:00 AM,Home,Penn State,TCF Bank Stadium,W 24-10
2013,2013 Football,11/23/2013,2:30 PM,Home,Wisconsin,TCF Bank Stadium,L 7-20
2014,2014 Football,08/28/2014,6:00 PM,Home,Eastern Illinois,TCF Bank Stadium,W 42-20
2014,2014 Football,09/06/2014,2:30 PM,Home,Middle Tennessee State,TCF Bank Stadium,W 35-24
2014,2014 Football,09/20/2014,3:00 PM,Home,San Jose State,TCF Bank Stadium,W 24-7
2014,2014 Football,10/11/2014,11:00 AM,Home,Northwestern,TCF Bank Stadium,W 24-17
2014,2014 Football,10/18/2014,11:00 AM,Home,Purdue,TCF Bank Stadium,W 39-38
2014,2014 Football,11/08/2014,11:00 AM,Home,Iowa,TCF Bank Stadium,W 51-14
2014,2014 Football,11/15/2014,11:00 AM,Home,Ohio State,TCF Bank Stadium,L 24-31
2015,2015 Football,09/03/2015,8:00 PM,Home,TCU,TCF Bank Stadium,L 17-23
2015,2015 Football,09/19/2015,11:00 AM,Home,Kent State,TCF Bank Stadium,W 10-7
2015,2015 Football,09/26/2015,2:30 PM,Home,Ohio (Homecoming),TCF Bank Stadium,W 27-24
2015,2015 Football,10/17/2015,2:30 PM,Home,Nebraska,TCF Bank Stadium,L 25-48
2015,2015 Football,10/31/2015,6:00 PM,Home,Michigan,TCF Bank Stadium,L 26-29
2015,2015 Football,11/21/2015,11:00 AM,Home,Illinois,TCF Bank Stadium,W 32-23
2015,2015 Football,11/28/2015,2:30 PM,Home,Wisconsin,TCF Bank Stadium,L 21-31
2016,2016 Football,09/01/2016,8:00 PM,Home,Oregon State,TCF Bank Stadium,W 30-23
2016,2016 Football,09/10/2016,11:00 AM,Home,Indiana State,TCF Bank Stadium,W 58-28
2016,2016 Football,09/24/2016,11:00 AM,Home,Colorado State,TCF Bank Stadium,W 31-24
2016,2016 Football,10/08/2016,11:00 AM,Home,Iowa,TCF Bank Stadium,L 7-14
2016,2016 Football,10/22/2016,11:00 AM,Home,Rutgers,TCF Bank Stadium,W 34-32
2016,2016 Football,11/05/2016,2:30 PM,Home,Purdue,TCF Bank Stadium,W 44-31
2016,2016 Football,11/19/2016,2:30 PM,Home,Northwestern,TCF Bank Stadium,W 29-12
2017,2017 Football,08/31/2017,6:00 PM,Home,Buffalo,TCF Bank Stadium,W 17-7
2017,2017 Football,09/16/2017,2:30 PM,Home,Middle Tennessee,TCF Bank Stadium,W 34-3
2017,2017 Football,09/30/2017,11:00 AM,Home,Maryland,TCF Bank Stadium,L 24-31
2017,2017 Football,10/14/2017,7:00 PM,Home,Michigan State,TCF Bank Stadium,L 27-30
2017,2017 Football,10/21/2017,2:30 PM,Home,Illinois,TCF Bank Stadium,W 24-17
2017,2017 Football,11/11/2017,11:00 AM,Home,Nebraska,TCF Bank Stadium,W 54-21
2017,2017 Football,11/25/2017,2:30 PM,Home,Wisconsin,TCF Bank Stadium,L 0-31
2018,2018 Football,08/30/2018,6:00 PM,Home,New Mexico State,TCF Bank Stadium,W 48-10
2018,2018 Football,09/08/2018,6:30 PM,Home,Fresno State,TCF Bank Stadium,W 21-14
2018,2018 Football,09/15/2018,2:30 PM,Home,Miami (OH),TCF Bank Stadium,W 26-3
2018,2018 Football,10/06/2018,2:30 PM,Home,Iowa,TCF Bank Stadium,L 31-48
2018,2018 Football,10/26/2018,7:00 PM,Home,Indiana,TCF Bank Stadium,W 38-31
2018,2018 Football,11/10/2018,2:30 PM,Home,Purdue,TCF Bank Stadium,W 41-10
2018,2018 Football,11/17/2018,11:00 AM,Home,Northwestern,TCF Bank Stadium,L 14-24
2004,2004-05 Men's Ice Hockey,10/07/2004,TBD,Home,Calgary,Mariucci Arena,W 7-2
2004,2004-05 Men's Ice Hockey,10/29/2004,TBD,Home,Minnesota State,Mariucci Arena,W 9-2
2004,2004-05 Men's Ice Hockey,10/30/2004,TBD,Home,Minnesota State,Mariucci Arena,W 3-2
2004,2004-05 Men's Ice Hockey,11/05/2004,TBD,Home,Wisconsin,Mariucci Arena,W 3-2
2004,2004-05 Men's Ice Hockey,11/06/2004,TBD,Home,Wisconsin,Mariucci Arena,W 4-2
2004,2004-05 Men's Ice Hockey,11/26/2004,TBD,Home,Michigan,Mariucci Arena,W 5-1
2004,2004-05 Men's Ice Hockey,11/27/2004,TBD,Home,Michigan State,Mariucci Arena,W 5-0
2004,2004-05 Men's Ice Hockey,12/11/2004,TBD,Home,St. Cloud State,Mariucci Arena,W 4-2
2004,2004-05 Men's Ice Hockey,12/22/2004,TBD,Home,Merrimack,Mariucci Arena,W 6-2
2004,2004-05 Men's Ice Hockey,12/23/2004,TBD,Home,Northern Michigan,Mariucci Arena,W 4-1
2005,2004-05 Men's Ice Hockey,01/08/2005,TBD,Home,Colorado College,Mariucci Arena,L 2-3
2005,2004-05 Men's Ice Hockey,01/09/2005,TBD,Home,Colorado College,Mariucci Arena,L 3-5
2005,2004-05 Men's Ice Hockey,01/21/2005,TBD,Home,Michigan Tech,Mariucci Arena,L 3-6
2005,2004-05 Men's Ice Hockey,01/22/2005,TBD,Home,Michigan Tech,Mariucci Arena,L 1-3
2005,2004-05 Men's Ice Hockey,01/28/2005,TBD,Home,UMD,Mariucci Arena,W 4-3
2005,2004-05 Men's Ice Hockey,01/29/2005,TBD,Home,UMD,Mariucci Arena,L 2-3
2005,2004-05 Men's Ice Hockey,02/11/2005,TBD,Home,Alaska Anchorage,Mariucci Arena,L 2-3
2005,2004-05 Men's Ice Hockey,02/12/2005,TBD,Home,Alaska Anchorage,Mariucci Arena,T 5-5
2005,2004-05 Men's Ice Hockey,02/19/2005,TBD,Home,US Under 18 Team,Mariucci Arena,W 7-5
2005,2004-05 Men's Ice Hockey,02/25/2005,TBD,Home,St. Cloud State,Mariucci Arena,W 5-4
2005,2004-05 Men's Ice Hockey,03/11/2005,TBD,Home,Minnesota State,Mariucci Arena,W 7-2
2005,2004-05 Men's Ice Hockey,03/12/2005,TBD,Home,Minnesota State,Mariucci Arena,W 5-3
2005,2004-05 Men's Ice Hockey,03/26/2005,TBD,Home,Maine,Mariucci Arena,W 1-0
2005,2004-05 Men's Ice Hockey,03/27/2005,TBD,Home,Cornell,Mariucci Arena,W 2-1
2005,2005-06 Men's Ice Hockey,10/06/2005,TBD,Home,Alberta,Mariucci Arena,W 4-3
2005,2005-06 Men's Ice Hockey,10/14/2005,TBD,Home,Alaska Fairbanks,Mariucci Arena,L 3-4
2005,2005-06 Men's Ice Hockey,10/15/2005,TBD,Home,Alaska Fairbanks,Mariucci Arena,T 3-3
2005,2005-06 Men's Ice Hockey,10/21/2005,TBD,Home,Minnesota State,Mariucci Arena,W 5-2
2005,2005-06 Men's Ice Hockey,10/22/2005,TBD,Home,Minnesota State,Mariucci Arena,W 4-3
2005,2005-06 Men's Ice Hockey,11/11/2005,TBD,Home,Alaska Anchorage,Mariucci Arena,W 9-0
2005,2005-06 Men's Ice Hockey,11/12/2005,TBD,Home,Alaska Anchorage,Mariucci Arena,W 4-3
2005,2005-06 Men's Ice Hockey,12/02/2005,TBD,Home,Wisconsin,Mariucci Arena,L 3-4
2005,2005-06 Men's Ice Hockey,12/03/2005,TBD,Home,Wisconsin,Mariucci Arena,L 0-4
2005,2005-06 Men's Ice Hockey,12/29/2005,TBD,Home,Union,Mariucci Arena,W 8-0
2005,2005-06 Men's Ice Hockey,12/30/2005,TBD,Home,UMass Lowell,Mariucci Arena,W 5-4
2006,2005-06 Men's Ice Hockey,01/06/2006,TBD,Home,Niagara,Mariucci Arena,W 5-2
2006,2005-06 Men's Ice Hockey,01/07/2006,TBD,Home,Niagara,Mariucci Arena,W 7-1
2006,2005-06 Men's Ice Hockey,01/13/2006,TBD,Home,North Dakota,Mariucci Arena,W 6-1
2006,2005-06 Men's Ice Hockey,01/14/2006,TBD,Home,North Dakota,Mariucci Arena,L 2-4
2006,2005-06 Men's Ice Hockey,01/20/2006,TBD,Home,Colorado College,Mariucci Arena,W 4-2
2006,2005-06 Men's Ice Hockey,01/21/2006,TBD,Home,Colorado College,Mariucci Arena,W 3-2
2006,2005-06 Men's Ice Hockey,02/17/2006,TBD,Home,Denver,Mariucci Arena,W 3-2
2006,2005-06 Men's Ice Hockey,02/18/2006,TBD,Home,Denver,Mariucci Arena,W 5-1
2006,2005-06 Men's Ice Hockey,03/03/2006,TBD,Home,UMD,Mariucci Arena,W 7-0
2006,2005-06 Men's Ice Hockey,03/04/2006,TBD,Home,UMD,Mariucci Arena,W 2-0
2006,2005-06 Men's Ice Hockey,03/10/2006,TBD,Home,Alaska Anchorage,Mariucci Arena,W 7-4
2006,2005-06 Men's Ice Hockey,03/11/2006,TBD,Home,Alaska Anchorage,Mariucci Arena,W 6-2
2006,2006-07 Men's Ice Hockey,10/13/2006,TBD,Home,Wayne State,Mariucci Arena,W 7-1
2006,2006-07 Men's Ice Hockey,10/14/2006,TBD,Home,Wayne State,Mariucci Arena,W 5-1
2006,2006-07 Men's Ice Hockey,10/27/2006,TBD,Home,Colorado College,Mariucci Arena,W 2-0
2006,2006-07 Men's Ice Hockey,10/28/2006,TBD,Home,Colorado College,Mariucci Arena,W 8-1
2006,2006-07 Men's Ice Hockey,11/10/2006,TBD,Home,St. Cloud State,Mariucci Arena,T 5-5
2006,2006-07 Men's Ice Hockey,11/18/2006,TBD,Home,Wisconsin,Mariucci Arena,W 2-1
2006,2006-07 Men's Ice Hockey,11/19/2006,TBD,Home,Wisconsin,Mariucci Arena,W 3-1
2006,2006-07 Men's Ice Hockey,11/24/2006,TBD,Home,Michigan State,Mariucci Arena,W 5-4
2006,2006-07 Men's Ice Hockey,11/25/2006,TBD,Home,Michigan,Mariucci Arena,W 8-2
2006,2006-07 Men's Ice Hockey,12/01/2006,TBD,Home,Minnesota State,Mariucci Arena,T 5-5
2006,2006-07 Men's Ice Hockey,12/29/2006,TBD,Home,Alabama-Huntsville,Mariucci Arena,W 3-1
